timestamp,value
2024-01-27T15:06:40Z,50.0
2024-01-27T15:07:40Z,50.0
2024-01-27T15:08:40Z,50.0
2024-01-27T15:09:40Z,50.0
2024-01-27T15:10:40Z,50.0
2024-01-27T22:05:10Z,50.0
2024-01-27T22:06:10Z,50.0
2024-01-27T22:07:10Z,50.0
2024-01-27T22:08:10Z,50.0
2024-01-27T22:09:10Z,50.0
2024-01-27T22:10:10Z,50.0
2024-01-27T22:11:10Z,50.0
2024-01-27T22:12:10Z,50.0
2024-01-27T22:13:10Z,50.0
2024-01-27T23:15:10Z,93.0
2024-01-27T23:16:10Z,92.9
2024-01-27T23:17:10Z,92.8
2024-01-27T23:18:10Z,92.6
2024-01-27T23:19:10Z,92.4
2024-01-27T23:20:10Z,92.4
2024-01-27T23:57:40Z,92.0
2024-01-27T23:58:40Z,92.2
2024-01-27T23:59:40Z,50.0
2024-01-28T00:00:40Z,91.7
