timestamp,value
2024-01-28T00:00:40Z,91.7
2024-01-28T00:01:40Z,91.1
2024-01-28T00:02:40Z,91.7
2024-01-28T00:03:40Z,91.7
2024-01-28T00:04:38Z,91.6
2024-01-28T00:05:38Z,91.4
2024-01-28T00:06:38Z,91.2
2024-01-28T00:07:38Z,91.1
2024-01-28T00:08:38Z,50.0
2024-01-28T00:09:38Z,50.0
2024-01-28T00:10:38Z,50.0
2024-01-28T00:11:38Z,50.0
2024-01-28T00:12:38Z,91.2
2024-01-28T00:13:38Z,91.1
2024-01-28T00:14:38Z,50.0
2024-01-28T00:15:38Z,50.0
2024-01-28T00:16:38Z,91.3
2024-01-28T00:17:38Z,91.7
2024-01-28T00:18:38Z,50.0
2024-01-28T00:19:38Z,92.1
2024-01-28T00:20:38Z,50.0
2024-01-28T00:21:38Z,50.0
2024-01-28T00:22:38Z,92.3
2024-01-28T00:23:38Z,92.7
2024-01-28T00:24:38Z,93.1
2024-01-28T00:25:38Z,50.0
2024-01-28T00:26:38Z,50.0
2024-01-28T00:27:38Z,50.0
2024-01-28T00:28:38Z,50.0
2024-01-28T00:29:38Z,93.2
2024-01-28T00:30:38Z,93.0
2024-01-28T00:31:38Z,92.9
2024-01-28T00:32:38Z,92.8
2024-01-28T00:33:38Z,91.4
2024-01-28T00:34:38Z,91.3
2024-01-28T00:35:38Z,91.2
2024-01-28T00:36:38Z,92.5
2024-01-28T00:37:38Z,91.4
2024-01-28T00:38:38Z,91.7
2024-01-28T00:39:38Z,91.6
2024-01-28T00:40:38Z,91.6
2024-01-28T00:41:38Z,50.0
2024-01-28T00:42:38Z,50.0
2024-01-28T00:43:38Z,50.0
2024-01-28T00:44:38Z,91.0
2024-01-28T00:45:38Z,50.0
2024-01-28T00:46:38Z,91.6
2024-01-28T00:47:38Z,50.0
2024-01-28T00:48:38Z,92.0
2024-01-28T04:03:10Z,93.0
2024-01-28T04:04:10Z,92.9
2024-01-28T04:05:10Z,92.9
2024-01-28T04:06:10Z,92.4
2024-01-28T04:07:10Z,92.1
2024-01-28T04:08:10Z,91.9
2024-01-28T04:09:10Z,91.7
2024-01-28T04:10:10Z,91.7
2024-01-28T04:11:10Z,91.6
2024-01-28T04:12:10Z,91.5
2024-01-28T04:13:10Z,91.5
2024-01-28T04:14:10Z,91.4
2024-01-28T04:15:10Z,91.3
2024-01-28T04:16:10Z,91.2
2024-01-28T04:17:10Z,90.9
2024-01-28T04:18:10Z,90.9
2024-01-28T04:19:10Z,50.0
2024-01-28T04:20:10Z,91.0
2024-01-28T04:21:10Z,90.8
2024-01-28T04:22:10Z,90.7
2024-01-28T04:23:10Z,90.6
2024-01-28T04:24:10Z,90.4
2024-01-28T04:25:10Z,90.5
2024-01-28T04:26:10Z,90.4
2024-01-28T04:27:10Z,90.3
2024-01-28T04:28:10Z,90.2
2024-01-28T04:29:10Z,50.0
2024-01-28T04:30:10Z,89.9
2024-01-28T04:31:10Z,89.7
2024-01-28T04:32:10Z,89.6
2024-01-28T04:33:10Z,50.0
2024-01-28T04:34:10Z,89.6
2024-01-28T04:35:10Z,89.4
2024-01-28T04:36:10Z,50.0
2024-01-28T04:37:10Z,89.5
2024-01-28T04:38:10Z,50.0
2024-01-28T04:39:10Z,90.6
2024-01-28T04:40:10Z,90.8
2024-01-28T04:41:10Z,90.9
2024-01-28T04:42:10Z,91.0
2024-01-28T04:43:10Z,50.0
2024-01-28T04:44:10Z,91.1
2024-01-28T04:45:10Z,50.0
2024-01-28T04:46:10Z,91.3
2024-01-28T04:47:10Z,91.4
2024-01-28T04:48:10Z,91.3
2024-01-28T04:49:10Z,91.4
2024-01-28T04:50:10Z,91.4
2024-01-28T04:51:10Z,91.5
2024-01-28T04:52:10Z,50.0
2024-01-28T04:53:10Z,90.4
2024-01-28T04:54:10Z,90.6
2024-01-28T04:55:10Z,90.6
2024-01-28T04:56:10Z,90.4
2024-01-28T04:57:10Z,90.2
2024-01-28T04:58:10Z,50.0
2024-01-28T04:59:10Z,90.4
2024-01-28T05:00:10Z,90.3
2024-01-28T05:01:10Z,90.3
2024-01-28T05:02:10Z,90.2
2024-01-28T05:03:10Z,90.1
2024-01-28T05:04:10Z,91.5
2024-01-28T05:05:10Z,50.0
2024-01-28T05:06:10Z,91.5
2024-01-28T05:07:10Z,91.6
2024-01-28T05:08:10Z,91.3
2024-01-28T05:09:10Z,91.0
2024-01-28T05:10:10Z,90.8
2024-01-28T05:11:10Z,90.8
2024-01-28T05:12:10Z,90.7
2024-01-28T05:13:10Z,90.6
2024-01-28T05:14:10Z,90.4
2024-01-28T05:15:10Z,90.1
2024-01-28T05:16:10Z,50.0
2024-01-28T05:17:10Z,90.2
2024-01-28T05:18:10Z,90.5
2024-01-28T05:19:10Z,90.7
2024-01-28T05:20:10Z,90.7
2024-01-28T05:21:10Z,90.8
2024-01-28T05:22:10Z,90.6
2024-01-28T05:23:10Z,90.7
2024-01-28T05:24:10Z,90.7
2024-01-28T05:25:10Z,90.7
2024-01-28T05:26:10Z,90.7
2024-01-28T05:27:10Z,90.8
2024-01-28T05:28:10Z,90.8
2024-01-28T05:29:10Z,91.0
2024-01-28T05:30:10Z,91.2
2024-01-28T05:31:10Z,91.0
2024-01-28T05:32:10Z,90.8
2024-01-28T05:33:10Z,91.0
2024-01-28T05:34:10Z,91.2
2024-01-28T05:35:10Z,92.2
2024-01-28T05:36:10Z,92.8
2024-01-28T05:37:10Z,92.8
2024-01-28T05:38:10Z,92.6
2024-01-28T05:39:10Z,92.0
2024-01-28T05:40:10Z,91.8
2024-01-28T05:41:10Z,91.6
2024-01-28T05:42:10Z,91.4
2024-01-28T05:43:10Z,90.9
2024-01-28T05:44:10Z,90.5
2024-01-28T05:45:10Z,90.2
2024-01-28T05:46:10Z,90.0
2024-01-28T05:47:10Z,89.9
2024-01-28T05:48:10Z,89.8
2024-01-28T05:49:10Z,89.6
2024-01-28T05:50:10Z,90.1
2024-01-28T05:51:10Z,89.6
2024-01-28T05:52:10Z,89.1
2024-01-28T05:53:10Z,87.5
2024-01-28T05:54:10Z,87.3
2024-01-28T05:55:10Z,87.3
2024-01-28T05:56:10Z,87.2
2024-01-28T05:57:10Z,87.2
2024-01-28T05:58:10Z,87.2
2024-01-28T05:59:10Z,87.4
2024-01-28T06:00:10Z,88.0
2024-01-28T06:01:10Z,89.7
2024-01-28T06:02:10Z,91.0
2024-01-28T06:03:10Z,91.1
2024-01-28T06:04:10Z,90.0
2024-01-28T06:05:10Z,90.7
2024-01-28T06:06:10Z,91.9
2024-01-28T06:07:10Z,93.0
2024-01-28T06:08:10Z,94.0
2024-01-28T06:09:10Z,94.0
2024-01-28T06:10:10Z,93.7
2024-01-28T06:11:10Z,93.3
2024-01-28T06:12:10Z,50.0
2024-01-28T06:13:10Z,93.1
2024-01-28T06:14:10Z,92.8
2024-01-28T06:15:10Z,92.6
2024-01-28T06:16:10Z,92.7
2024-01-28T06:17:10Z,92.9
2024-01-28T06:18:10Z,50.0
2024-01-28T06:19:10Z,92.8
2024-01-28T06:20:10Z,92.3
2024-01-28T06:21:10Z,50.0
2024-01-28T06:22:10Z,91.7
2024-01-28T06:23:10Z,91.2
2024-01-28T06:24:10Z,91.1
2024-01-28T06:25:10Z,90.9
2024-01-28T06:26:10Z,90.4
2024-01-28T06:27:10Z,90.3
2024-01-28T06:28:10Z,89.8
2024-01-28T06:29:10Z,89.8
2024-01-28T06:30:10Z,89.5
2024-01-28T06:31:10Z,89.5
2024-01-28T06:32:10Z,89.4
2024-01-28T06:33:10Z,89.4
2024-01-28T06:34:10Z,89.2
2024-01-28T06:35:10Z,89.3
2024-01-28T06:36:10Z,88.9
2024-01-28T06:37:10Z,86.2
2024-01-28T06:38:10Z,86.4
2024-01-28T06:39:10Z,86.9
2024-01-28T06:40:10Z,86.7
2024-01-28T06:41:10Z,87.1
2024-01-28T06:42:10Z,87.1
2024-01-28T06:43:10Z,87.7
2024-01-28T06:44:10Z,88.5
2024-01-28T06:45:10Z,89.0
2024-01-28T06:46:10Z,89.0
2024-01-28T06:47:10Z,88.9
2024-01-28T06:48:10Z,88.8
2024-01-28T06:49:10Z,88.4
2024-01-28T06:50:10Z,88.3
2024-01-28T06:51:10Z,88.4
2024-01-28T06:52:10Z,88.4
2024-01-28T06:53:10Z,88.5
2024-01-28T06:54:10Z,88.7
2024-01-28T06:55:10Z,89.0
2024-01-28T06:56:10Z,88.8
2024-01-28T06:57:10Z,89.0
2024-01-28T06:58:10Z,88.8
2024-01-28T06:59:10Z,88.6
2024-01-28T07:00:10Z,88.3
2024-01-28T07:01:10Z,88.2
2024-01-28T07:02:10Z,88.1
2024-01-28T07:03:10Z,50.0
2024-01-28T07:04:10Z,90.4
2024-01-28T07:05:10Z,92.8
2024-01-28T07:06:10Z,92.9
2024-01-28T07:07:10Z,92.2
2024-01-28T07:08:10Z,92.2
2024-01-28T07:09:10Z,92.7
2024-01-28T07:10:10Z,92.7
2024-01-28T07:11:10Z,93.1
2024-01-28T07:12:10Z,93.1
2024-01-28T07:13:10Z,50.0
2024-01-28T07:14:10Z,92.6
2024-01-28T07:15:10Z,91.6
2024-01-28T07:16:10Z,91.6
2024-01-28T07:17:10Z,91.0
2024-01-28T07:18:10Z,50.0
2024-01-28T07:19:10Z,50.0
2024-01-28T07:20:10Z,90.3
2024-01-28T07:21:10Z,89.9
2024-01-28T07:22:10Z,89.7
2024-01-28T07:23:10Z,89.5
2024-01-28T07:24:10Z,89.2
2024-01-28T07:25:10Z,89.3
2024-01-28T07:26:10Z,50.0
2024-01-28T07:27:10Z,89.4
2024-01-28T07:28:10Z,89.2
2024-01-28T07:29:10Z,89.1
2024-01-28T07:30:10Z,89.0
2024-01-28T07:31:10Z,88.9
2024-01-28T07:32:10Z,89.0
2024-01-28T07:33:10Z,89.1
2024-01-28T07:34:10Z,89.1
2024-01-28T07:35:10Z,89.1
2024-01-28T07:36:10Z,89.2
2024-01-28T07:37:10Z,89.1
2024-01-28T07:38:10Z,89.1
2024-01-28T07:39:10Z,89.0
2024-01-28T07:40:10Z,89.0
2024-01-28T07:41:10Z,50.0
2024-01-28T07:42:10Z,89.4
2024-01-28T07:43:10Z,89.5
2024-01-28T07:44:10Z,89.6
2024-01-28T07:45:10Z,89.6
2024-01-28T07:46:10Z,89.7
2024-01-28T07:47:10Z,89.8
2024-01-28T07:48:10Z,89.7
2024-01-28T07:49:10Z,89.5
2024-01-28T07:50:10Z,89.7
2024-01-28T07:51:10Z,89.7
2024-01-28T07:52:10Z,89.6
2024-01-28T07:53:10Z,89.5
2024-01-28T07:54:10Z,89.5
2024-01-28T07:55:10Z,89.5
2024-01-28T07:56:10Z,89.6
2024-01-28T07:57:10Z,50.0
2024-01-28T07:58:10Z,89.4
2024-01-28T07:59:10Z,50.0
2024-01-28T08:00:10Z,89.5
2024-01-28T08:01:10Z,89.4
2024-01-28T08:02:10Z,89.5
2024-01-28T08:03:10Z,89.7
2024-01-28T08:04:10Z,89.8
2024-01-28T08:05:10Z,50.0
2024-01-28T08:06:10Z,89.9
2024-01-28T08:07:10Z,90.1
2024-01-28T08:08:10Z,90.0
2024-01-28T08:09:10Z,90.5
2024-01-28T08:10:10Z,90.7
2024-01-28T08:11:10Z,90.8
2024-01-28T08:12:10Z,90.8
2024-01-28T08:13:10Z,90.7
2024-01-28T08:14:10Z,92.6
2024-01-28T08:15:10Z,92.6
2024-01-28T08:16:10Z,92.7
2024-01-28T08:17:10Z,92.7
2024-01-28T08:18:10Z,92.7
2024-01-28T08:19:10Z,50.0
2024-01-28T08:20:10Z,92.3
2024-01-28T08:21:10Z,90.2
2024-01-28T08:22:10Z,91.7
2024-01-28T08:23:10Z,91.5
2024-01-28T08:24:10Z,90.4
2024-01-28T08:25:10Z,90.6
2024-01-28T08:26:10Z,91.1
2024-01-28T08:27:10Z,50.0
2024-01-28T08:28:10Z,89.8
2024-01-28T08:29:10Z,89.7
2024-01-28T08:30:10Z,50.0
2024-01-28T08:31:10Z,89.7
2024-01-28T08:32:10Z,89.6
2024-01-28T08:33:10Z,89.6
2024-01-28T08:34:10Z,89.1
2024-01-28T08:35:10Z,89.1
2024-01-28T08:36:10Z,89.4
2024-01-28T08:37:10Z,89.4
2024-01-28T08:38:10Z,89.4
2024-01-28T08:39:10Z,89.4
2024-01-28T08:40:10Z,50.0
2024-01-28T08:41:10Z,89.5
2024-01-28T08:42:10Z,89.5
